# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
0976.HK  # CHIHO ENV
0978.HK  # CHI MER LAND
0979.HK  # GREEN ENERGY GP
0980.HK  # LIANHUA
0981.HK  # SMIC
0983.HK  # SOCAM DEV
0984.HK  # AEON STORES
0986.HK  # DUFU LIQUOR GP
0987.HK  # CH RENEW EN INV
0989.HK  # CHINA CBS INTL
0990.HK  # DEEP SOURCE
0991.HK  # DATANG POWER
0992.HK  # LENOVO GROUP
0993.HK  # XINKONG INT CAP
0994.HK  # CT VISION
0995.HK  # ANHUIEXPRESSWAY
0997.HK  # CHINLINK INTL
0998.HK  # CITIC BANK
0999.HK  # XIAOCAIYUAN
1000.HK  # BEIJING MEDIA
1001.HK  # HK SH ALLIANCE
1002.HK  # V.S. INT'L
1003.HK  # HUANXI MEDIA
1004.HK  # C SMARTERENERGY
1005.HK  # MATRIX HOLDINGS
1007.HK  # LONGHUI INTL
1008.HK  # LITU HOLDINGS
1009.HK  # INT'L ENT
1010.HK  # SKY BLUE 11
1011.HK  # NT PHARMA
1013.HK  # WAI CHUN GROUP
1020.HK  # CIPRUN TECH
1021.HK  # HUAYAN ROBOTICS
1022.HK  # FEIYU
1023.HK  # SITOY GROUP
1024.HK  # KUAISHOU-W
1025.HK  # KNT HOLDINGS
1026.HK  # UNIVERSAL TECH
1027.HK  # ASIA STRAT TECH
1028.HK  # C.BANNER
1029.HK  # IRC
1030.HK  # SEAZEN
1033.HK  # SINOPEC SSC
1036.HK  # VANKE OVERSEAS
1037.HK  # MAXNERVA TECH
1038.HK  # CKI HOLDINGS
1039.HK  # CHANGYOU INT GP
1044.HK  # HENGAN INT'L
1045.HK  # APT SATELLITE
1046.HK  # UNIVERSE ENT
1047.HK  # NGAI HING HONG
